,CA,FT,CrT,CoT,GCT,BT,FPC
16/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
16/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
17/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
18/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
19/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
20/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
21/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
22/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
23/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
24/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
25/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
26/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
27/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
28/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
29/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
30/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 00:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 01:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 02:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 03:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 04:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 05:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 06:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 07:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 08:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 09:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 10:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 11:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 12:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 13:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 14:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 15:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 16:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 17:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 18:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 19:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 20:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 21:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 22:00,-886,-1055,-5052,-23557,-8897,-72108,0
31/1/2050 23:00,-886,-1055,-5052,-23557,-8897,-72108,0
1/2/2050 0:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 1:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 2:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 3:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 4:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 5:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 6:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 7:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 8:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 9:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 10:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 11:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 12:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 13:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 14:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 15:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 16:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 17:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 18:00,-886,-1048,-5602,-23396,-8836,-71615,0
1/2/2050 19:00,-886,-1048,-5602,-23396,-8836,-71615,0
